filename,filepath,label,voice_type,speaker_id,gender,accent,language,duration_sec,sample_rate,augmented,transcript
human_yt_hi_0001.wav,voice data/human/human_yt_hi_0001.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0001,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 1.
human_yt_hi_0002.wav,voice data/human/human_yt_hi_0002.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0002,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 2.
human_yt_hi_0003.wav,voice data/human/human_yt_hi_0003.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0003,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 3.
human_yt_hi_0004.wav,voice data/human/human_yt_hi_0004.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0004,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 4.
human_yt_hi_0005.wav,voice data/human/human_yt_hi_0005.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0005,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 5.
human_yt_hi_0006.wav,voice data/human/human_yt_hi_0006.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0006,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 6.
human_yt_hi_0007.wav,voice data/human/human_yt_hi_0007.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0007,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 7.
human_yt_hi_0008.wav,voice data/human/human_yt_hi_0008.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0008,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 8.
human_yt_hi_0009.wav,voice data/human/human_yt_hi_0009.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0009,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 9.
human_yt_hi_0010.wav,voice data/human/human_yt_hi_0010.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0010,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 10.
human_yt_hi_0011.wav,voice data/human/human_yt_hi_0011.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0011,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 11.
human_yt_hi_0012.wav,voice data/human/human_yt_hi_0012.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0012,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 12.
human_yt_hi_0013.wav,voice data/human/human_yt_hi_0013.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0013,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 13.
human_yt_hi_0014.wav,voice data/human/human_yt_hi_0014.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0014,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 14.
human_yt_hi_0015.wav,voice data/human/human_yt_hi_0015.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0015,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 15.
human_yt_hi_0016.wav,voice data/human/human_yt_hi_0016.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0016,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 16.
human_yt_hi_0017.wav,voice data/human/human_yt_hi_0017.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0017,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 17.
human_yt_hi_0018.wav,voice data/human/human_yt_hi_0018.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0018,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 18.
human_yt_hi_0019.wav,voice data/human/human_yt_hi_0019.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0019,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 19.
human_yt_hi_0020.wav,voice data/human/human_yt_hi_0020.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0020,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 20.
human_yt_hi_0021.wav,voice data/human/human_yt_hi_0021.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0021,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 21.
human_yt_hi_0022.wav,voice data/human/human_yt_hi_0022.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0022,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 22.
human_yt_hi_0023.wav,voice data/human/human_yt_hi_0023.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0023,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 23.
human_yt_hi_0024.wav,voice data/human/human_yt_hi_0024.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0024,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 24.
human_yt_hi_0025.wav,voice data/human/human_yt_hi_0025.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0025,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 25.
human_yt_hi_0026.wav,voice data/human/human_yt_hi_0026.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0026,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 26.
human_yt_hi_0027.wav,voice data/human/human_yt_hi_0027.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0027,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 27.
human_yt_hi_0028.wav,voice data/human/human_yt_hi_0028.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0028,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 28.
human_yt_hi_0029.wav,voice data/human/human_yt_hi_0029.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0029,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 29.
human_yt_hi_0030.wav,voice data/human/human_yt_hi_0030.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0030,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 30.
human_yt_hi_0031.wav,voice data/human/human_yt_hi_0031.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0031,Male,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 31.
human_yt_hi_0032.wav,voice data/human/human_yt_hi_0032.wav,human,YouTube Human Speech,YouTube_Hindi_Speaker_0032,Female,Hindi Native,Hindi,5.0,16000,YouTube Room Ambience,Authentic YouTube human speech segment in Hindi sample 32.
